address,register,7,6,5,4,3,2,1,0
FFFFF110H,WTIC,WTIF,WTMK,0,0,0,WTPR2,WTPR1,WTPR0
FFFFF112H,TMD0IC,TMD0IF,TMD0MK,0,0,0,TMD0PR2,TMD0PR1,TMD0PR0
FFFFF114H,TMD1IC,TMD1IF,TMD1MK,0,0,0,TMD1PR2,TMD1PR1,TMD1PR0
FFFFF116H,WTIIC,WTIIF,WTIMK,0,0,0,WTIPR2,WTIPR1,WTIPR0
FFFFF118H,P0IC,P0IF,P0MK,0,0,0,P0PR2,P0PR1,P0PR0
FFFFF11AH,P1IC,P1IF,P1MK,0,0,0,P1PR2,P1PR1,P1PR0
FFFFF11CH,P2IC,P2IF,P2MK,0,0,0,P2PR2,P2PR1,P2PR0
FFFFF11EH,P3IC,P3IF,P3MK,0,0,0,P3PR2,P3PR1,P3PR0
FFFFF120H,P4IC,P4IF,P4MK,0,0,0,P4PR2,P4PR1,P4PR0
FFFFF122H,P5IC,P5IF,P5MK,0,0,0,P5PR2,P5PR1,P5PR0
FFFFF124H,TMG00IC,TMG00IF,TMG00MK,0,0,0,TMG00PR2,TMG00PR1,TMG00PR0
FFFFF126H,TMG01IC,TMG01IF,TMG01MK,0,0,0,TMG01PR2,TMG01PR1,TMG01PR0
FFFFF128H,GCC00IC,GCC00IF,GCC00MK,0,0,0,GCC00PR2,GCC00PR1,GCC00PR0
FFFFF12AH,GCC01IC,GCC01IF,GCC01MK,0,0,0,GCC01PR2,GCC01PR1,GCC01PR0
FFFFF12CH,GCC02IC,GCC02IF,GCC02MK,0,0,0,GCC02PR2,GCC02PR1,GCC02PR0
FFFFF12EH,GCC03IC,GCC03IF,GCC03MK,0,0,0,GCC03PR2,GCC03PR1,GCC03PR0
FFFFF130H,GCC04IC,GCC04IF,GCC04MK,0,0,0,GCC04PR2,GCC04PR1,GCC04PR0
FFFFF132H,GCC05IC,GCC05IF,GCC05MK,0,0,0,GCC05PR2,GCC05PR1,GCC05PR0
FFFFF134H,TMG10IC,TMG10IF,TMG10MK,0,0,0,TMG10PR2,TMG10PR1,TMG10PR0
FFFFF136H,TMG11IC,TMG11IF,TMG11MK,0,0,0,TMG11PR2,TMG11PR1,TMG11PR0
FFFFF138H,GCC10IC,GCC10IF,GCC10MK,0,0,0,GCC10PR2,GCC10PR1,GCC10PR0
FFFFF13AH,GCC11IC,GCC11IF,GCC11MK,0,0,0,GCC11PR2,GCC11PR1,GCC11PR0
FFFFF13CH,GCC12IC,GCC12IF,GCC12MK,0,0,0,GCC12PR2,GCC12PR1,GCC12PR0
FFFFF13EH,GCC13IC,GCC13IF,GCC13MK,0,0,0,GCC13PR2,GCC13PR1,GCC13PR0
FFFFF140H,GCC14IC,GCC14IF,GCC14MK,0,0,0,GCC14PR2,GCC14PR1,GCC14PR0
FFFFF142H,GCC15IC,GCC15IF,GCC15MK,0,0,0,GCC15PR2,GCC15PR1,GCC15PR0
