FFFFF002,Port AH,PAH,R/W,×,×,,00H
FFFFF008,Port CS,PCS,R/W,×,×,,undefined
FFFFF00A,Port CT,PCT,R/W,×,×,,undefined
FFFFF00C,Port CM,PCM,R/W,×,×,,undefined
FFFFF022,Port AH mode,PMAH,R/W,×,×,,0000H
FFFFF028,Port CS mode,PMCS,R/W,×,×,,18H
FFFFF02A,Port CT mode,PMCT,R/W,×,×,,13H
FFFFF02C,Port CM mode,PMCM,R/W,×,×,,01H
FFFFF042,Port AH mode control,PMCAH,R/W,×,×,,FFH
FFFFF048,Port CS mode control,PMCCS,R/W,×,×,,01H
FFFFF04A,Port CT mode control,PMCCT,R/W,×,×,,10H
FFFFF04C,Port CM mode control,PMCCM,R/W,×,×,,01H
FFFFF060,CPU: Chip Area Select Control register 0,CSC0,R/W,,,×,2C11H
FFFFF062,CPU: Chip Area Select Control register 1,CSC1,R/W,,,×,2C11H
FFFFF064,CPU: Peripheral Area Select Control register,BPC,R/W,,,×,0FFFH
FFFFF066,CPU: Bus Size Configuration register,BSC,R/W,,,×,5555H
FFFFF068,CPU: Endian Configuration register,BEC,R/W,,,×,0000H
FFFFF06A,CPU: Cache Configuration register,BHC,R/W,,,×,0000H
FFFFF06E,CPU: VPB Strobe Wait Control register,VSWC,R/W,×,×,,77H
FFFFF070,Instruction Cache Control Register,ICC,R/W,,,×,0003H
FFFFF072,Instruction Cache Index Register,ICI,R/W,,,×,FFFFH
FFFFF074,Instruction Cache Data Configuration,ICD,R/W,,,×,undefined
FFFFF080,DMA source address register 0L,DSAL0,R/W,,,×,undefined
FFFFF082,DMA source address register 0H,DSAH0,R/W,,,×,undefined
FFFFF084,DMA destination address register 0L,DDAL0,R/W,,,×,undefined
FFFFF086,DMA destination address register 0H,DDAH0,R/W,,,×,undefined
FFFFF088,DMA source address register 1L,DSAL1,R/W,,,×,undefined
FFFFF08A,DMA source address register 1H,DSAH1,R/W,,,×,undefined
FFFFF08C,DMA destination address register 1L,DDAL1,R/W,,,×,undefined
FFFFF08E,DMA destination address register 1H,DDAH1,R/W,,,×,undefined
FFFFF090,DMA source address register 2L,DSAL2,R/W,,,×,undefined
FFFFF092,DMA source address register 2H,DSAH2,R/W,,,×,undefined
FFFFF094,DMA destination address register 2L,DDAL2,R/W,,,×,undefined
FFFFF096,DMA destination address register 2H,DDAH2,R/W,,,×,undefined
FFFFF098,DMA source address register 3L,DSAL3,R/W,,,×,undefined
FFFFF09A,DMA source address register 3H,DSAH3,R/W,,,×,undefined
FFFFF09C,DMA destination address register 3L,DDAL3,R/W,,,×,undefined
FFFFF09E,DMA destination address register 3H,DDAH3,R/W,,,×,undefined
FFFFF0C0,DMA transfer count register 0,DBC0,R/W,,,×,undefined
FFFFF0C2,DMA transfer count register 1,DBC1,R/W,,,×,undefined
FFFFF0C4,DMA transfer count register 2,DBC2,R/W,,,×,undefined
FFFFF0C6,DMA transfer count register 3,DBC3,R/W,,,×,undefined
FFFFF0D0,DMA addressing control register 0,DADC0,R/W,,,×,0000H
FFFFF0D2,DMA addressing control register 1,DADC1,R/W,,,×,0000H
FFFFF0D4,DMA addressing control register 2,DADC2,R/W,,,×,0000H
FFFFF0D6,DMA addressing control register 3,DADC3,R/W,,,×,0000H
FFFFF0E0,DMA channel control register 0,DCHC0,R/W,×,×,,00H
FFFFF0E2,DMA channel control register 1,DCHC1,R/W,×,×,,00H
FFFFF0E4,DMA channel control register 2,DCHC2,R/W,×,×,,00H
FFFFF0E6,DMA channel control register 3,DCHC3,R/W,×,×,,00H
FFFFF0F0,DMA disable status register,DDIS,R,×,×,,00H
FFFFF0F2,DMA restart register,DRST,R/W,×,×,,00H
FFFFF100,Interrupt Mask register 0,IMR0,R/W,×,,×,FFFFH
FFFFF102,Interrupt Mask register 1,IMR1,R/W,×,,×,FFFFH
FFFFF104,Interrupt Mask register 2,IMR2,R/W,×,,×,FFFFH
FFFFF106,Interrupt Mask register 3,IMR3,R/W,×,,×,FFFFH
FFFFF110,Interrupt control register 0,WTIC,R/W,×,×,,47H
FFFFF112,Interrupt control register 1,TMD0IC,R/W,×,×,,47H
FFFFF114,Interrupt control register 2,TMD1IC,R/W,×,×,,47H
FFFFF116,Interrupt control register 3,WTIIC,R/W,×,×,,47H
FFFFF118,Interrupt control register 4,P0IC,R/W,×,×,,47H
FFFFF11A,Interrupt control register 5,P1IC,R/W,×,×,,47H
FFFFF11C,Interrupt control register 6,P2IC,R/W,×,×,,47H
